a3,z_min,z_max
3.657718120805369261e-02,8.661366878104871572e-04,6.770075937122055354e-01
3.718120805369128090e-02,7.960654367746747935e-04,7.508257749753410870e-01
3.778523489932886226e-02,7.982413374947249732e-04,7.311242556936342618e-01
3.838926174496644361e-02,9.774773282074707831e-04,7.034380696455186932e-01
3.899328859060403191e-02,1.149667717325632971e-03,6.807294090637249218e-01
3.959731543624161326e-02,1.426837186050406445e-03,6.539170982127642251e-01
4.020134228187920156e-02,1.507794763582285093e-03,6.428508631832565712e-01
4.080536912751678291e-02,1.656899562162428893e-03,6.297103573287189393e-01
4.140939597315437121e-02,1.812615402888401520e-03,6.169022181598388110e-01
4.201342281879195256e-02,1.982472757926052962e-03,6.044928251107496431e-01
4.261744966442953392e-02,2.182182846246591423e-03,5.904910334133898209e-01
4.322147651006712221e-02,2.413276563858559459e-03,5.759664980438738979e-01
4.382550335570470357e-02,2.684901008129372563e-03,5.602012947751889849e-01
4.442953020134228492e-02,3.019254374471233831e-03,5.430833462488190433e-01
4.503355704697987322e-02,3.414358964822503725e-03,5.241272007673700717e-01
4.563758389261745457e-02,3.918742570710332523e-03,5.027617461900154572e-01
4.624161073825503593e-02,4.584583022441275982e-03,4.786560691317707783e-01
4.684563758389262422e-02,5.433170320881849057e-03,4.517283343275279583e-01
4.744966442953020558e-02,6.461015754944068705e-03,4.218192951293625592e-01
4.805369127516779387e-02,8.214831150652459821e-03,3.848267607267256141e-01
4.865771812080537523e-02,1.013226563343779668e-02,3.495996177444402053e-01
4.926174496644295658e-02,1.222340590492651015e-02,3.173673988402440638e-01
4.986577181208054488e-02,1.416783185350382543e-02,2.911748685095349454e-01
5.046979865771812623e-02,1.569362775441823787e-02,2.716487485185018480e-01
5.107382550335571453e-02,1.661576258975883125e-02,2.616145744010253127e-01
5.167785234899329588e-02,1.674804279286281131e-02,2.590745911647499566e-01
5.228187919463087724e-02,1.698404979610093277e-02,2.558046241447625713e-01
5.288590604026846553e-02,1.716192877480772483e-02,2.531346180997182671e-01
5.348993288590604689e-02,1.726073257199218711e-02,2.510467410954403400e-01
5.409395973154362824e-02,1.744771563374250198e-02,2.482750479595864368e-01
5.469798657718121654e-02,1.756763842426451588e-02,2.460333643790477698e-01
5.530201342281879789e-02,1.770774161439851724e-02,2.436770687107915612e-01
5.590604026845637925e-02,1.783003092791058189e-02,2.414168764645061582e-01
5.651006711409396754e-02,1.795684127944432648e-02,2.391197693116295930e-01
5.711409395973154890e-02,1.808327540483284021e-02,2.368739886155105112e-01
5.771812080536913719e-02,1.821177158513665253e-02,2.345362564584941023e-01
5.832214765100671855e-02,1.833656340696845216e-02,2.321802107024992790e-01
5.892617449664429990e-02,1.846186919418446593e-02,2.298948335832749212e-01
5.953020134228188820e-02,1.858426796089006697e-02,2.276000889846633846e-01
6.013422818791946955e-02,1.870397625500582958e-02,2.253219627076427645e-01
6.073825503355705785e-02,1.882088736150639915e-02,2.230329352429251122e-01
6.134228187919463920e-02,1.893656067121233730e-02,2.207522898392406119e-01
6.194630872483222056e-02,1.904967942042042409e-02,2.184716604445164356e-01
6.255033557046980885e-02,1.916143525367281636e-02,2.161940496642408283e-01
6.315436241610739021e-02,1.927180607115877575e-02,2.138952069547811474e-01
6.375838926174497157e-02,1.937691541759702096e-02,2.116311625288276321e-01
6.436241610738255292e-02,1.948273577615538057e-02,2.093389153306504658e-01
6.496644295302013428e-02,1.958274810535357360e-02,2.070740749247718393e-01
6.557046979865771563e-02,1.968198203468660146e-02,2.047662647029657723e-01
6.617449664429531087e-02,1.977816011188513259e-02,2.025064465205982933e-01
6.677852348993289222e-02,1.987147098316994348e-02,2.002228247756574764e-01
